"month_start_date","month_start_date_key","organization_key","department_key","budget_scenario_key","budget_revenue","budget_operating_cost","budget_payroll_cost","budget_capital_amount","budget_fte","assumption_version"
"2023-08-01","20230801","31","1","1","34143.97","482656.98","377881.54","2709.88","38.35","ENTERPRISE_V1"
"2023-08-01","20230801","31","1","2","27027.01","455828.51","364409.53","2155.01","38.0","ENTERPRISE_V1"
"2023-08-01","20230801","31","1","3","26657.69","443621.72","354650.88","4014.01","36.46","ENTERPRISE_V1"
"2023-09-01","20230901","31","1","1","19077.24","437314.42","358866.29","2032.29","35.93","ENTERPRISE_V1"
"2023-09-01","20230901","31","1","2","21227.57","429318.87","351512.93","3171.08","36.41","ENTERPRISE_V1"
"2023-09-01","20230901","31","1","3","20889.19","425008.13","347983.43","4416.6","35.95","ENTERPRISE_V1"
"2023-10-01","20231001","31","1","1","21243.46","458135.38","374921.65","2682.15","35.35","ENTERPRISE_V1"
"2023-10-01","20231001","31","1","2","22158.7","429654.54","350211.02","3132.27","35.58","ENTERPRISE_V1"
"2023-10-01","20231001","31","1","3","22703.27","429440.88","350036.87","3142.09","36.67","ENTERPRISE_V1"
"2023-11-01","20231101","31","1","1","20817.72","462640.72","377563.57","1883.18","37.58","ENTERPRISE_V1"
"2023-11-01","20231101","31","1","2","17929.27","445089.19","362825.78","2613.27","37.44","ENTERPRISE_V1"
"2023-11-01","20231101","31","1","3","18509.38","422965.05","344790.73","2087.65","36.95","ENTERPRISE_V1"
