"month_start_date","month_start_date_key","organization_key","department_key","cost_category_key","operating_revenue","operating_cost","fixed_cost_amount","variable_cost_amount","allocated_shared_cost_amount","payroll_cost","supplies_cost","medication_cost","facility_cost","technology_other_cost","driver_encounter_count","driver_procedure_count"
"2023-08-01","20230801","31","1","1","18434.08","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","18","30"
"2023-08-01","20230801","31","1","2","0.0","361782.61","296661.74","65120.87","0.0","361782.61","0.0","0.0","0.0","0.0","18","30"
"2023-08-01","20230801","31","1","3","0.0","10660.61","9000.0","1660.61","0.0","0.0","10660.61","0.0","0.0","0.0","18","30"
"2023-08-01","20230801","31","1","4","0.0","5361.19","4500.0","861.19","0.0","0.0","0.0","5361.19","0.0","0.0","18","30"
"2023-08-01","20230801","31","1","5","0.0","39204.72","36852.44","2352.28","0.0","0.0","0.0","0.0","39204.72","0.0","18","30"
"2023-08-01","20230801","31","1","6","0.0","23859.12","17178.56","4294.64","2385.91","0.0","0.0","0.0","0.0","23859.12","18","30"
"2023-08-01","20230801","76","2","1","8263.14","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","24","40"
"2023-08-01","20230801","76","2","2","0.0","265105.9","217386.84","47719.06","0.0","265105.9","0.0","0.0","0.0","0.0","24","40"
"2023-08-01","20230801","76","2","3","0.0","12641.71","9000.0","3641.71","0.0","0.0","12641.71","0.0","0.0","0.0","24","40"
"2023-08-01","20230801","76","2","4","0.0","5375.55","4500.0","875.55","0.0","0.0","0.0","5375.55","0.0","0.0","24","40"
"2023-08-01","20230801","76","2","5","0.0","42973.39","40394.99","2578.4","0.0","0.0","0.0","0.0","42973.39","0.0","24","40"
"2023-08-01","20230801","76","2","6","0.0","23149.75","16667.82","4166.96","2314.98","0.0","0.0","0.0","0.0","23149.75","24","40"
