"incident_id","opened_date_key","resolved_date_key","organization_key","department_key","it_system_key","incident_category_key","opened_at","resolved_at","severity","status","channel","sla_class","sla_target_minutes","resolution_minutes","sla_met_flag","downtime_minutes","affected_users","business_impact_score"
"ENT-INC-0000001","20230802","20230802","31","1","1","3","2023-08-02T05:50:00","2023-08-02T21:46:00","P4","Resolved","Portal","P4","1440","956.0","True","0","5","17.86"
"ENT-INC-0000002","20230805","20230805","31","1","1","2","2023-08-05T03:00:00","2023-08-05T17:17:00","P3","Resolved","Email","P3","720","857.0","False","0","7","38.37"
"ENT-INC-0000003","20230808","20230809","31","1","1","6","2023-08-08T04:44:00","2023-08-09T16:34:00","P4","Resolved","Portal","P4","1440","2150.0","False","0","7","16.8"
"ENT-INC-0000004","20230810","20230811","31","1","1","6","2023-08-10T01:56:00","2023-08-11T08:58:00","P4","Resolved","Portal","P4","1440","1862.0","False","0","1","16.42"
"ENT-INC-0000005","20230811","20230811","31","1","1","2","2023-08-11T02:32:00","2023-08-11T23:47:00","P3","Resolved","Monitoring","P3","720","1275.0","False","0","3","37.81"
"ENT-INC-0000006","20230814","20230815","31","1","1","2","2023-08-14T09:59:00","2023-08-15T09:53:00","P4","Resolved","Monitoring","P4","1440","1434.0","True","0","7","16.55"
"ENT-INC-0000007","20230825","20230826","31","1","1","6","2023-08-25T22:32:00","2023-08-26T08:23:00","P3","Resolved","Portal","P3","720","591.0","True","0","1","39.19"
"ENT-INC-0000008","20230826","20230826","31","1","1","3","2023-08-26T01:56:00","2023-08-26T18:20:00","P3","Resolved","Monitoring","P3","720","984.0","False","0","3","42.45"
"ENT-INC-0000009","20230830","20230831","31","1","1","5","2023-08-30T16:18:00","2023-08-31T03:05:00","P3","Resolved","Email","P3","720","647.0","True","0","5","33.45"
"ENT-INC-0000010","20230830","20230830","31","1","1","2","2023-08-30T07:01:00","2023-08-30T17:51:00","P3","Resolved","Portal","P3","720","650.0","True","0","4","30.52"
"ENT-INC-0000011","20230905","20230906","31","1","1","6","2023-09-05T23:16:00","2023-09-06T10:56:00","P4","Resolved","Portal","P4","1440","700.0","True","0","3","13.12"
"ENT-INC-0000012","20230925","20230926","31","1","1","3","2023-09-25T20:51:00","2023-09-26T15:15:00","P4","Resolved","Portal","P4","1440","1104.0","True","0","6","12.22"
