"date","organization_key","it_system_key","date_key","scheduled_minutes","availability_minutes","available_minutes","downtime_minutes","planned_downtime_minutes","unplanned_downtime_minutes","uptime_pct","transaction_count","active_users","peak_concurrent_users","response_time_ms","error_count","incident_count"
"2023-08-01","31","1","20230801","1440","1436","1436","4","0","4","0.99722222","376","11","3","217.62","1","0"
"2023-08-02","31","1","20230802","1440","1440","1440","0","0","0","1.0","363","12","3","173.43","0","1"
"2023-08-03","31","1","20230803","1440","1440","1440","0","0","0","1.0","757","14","5","213.88","0","0"
"2023-08-04","31","1","20230804","1440","1440","1440","0","0","0","1.0","328","11","3","199.98","0","0"
"2023-08-05","31","1","20230805","1440","1440","1440","0","0","0","1.0","344","13","3","227.03","0","1"
"2023-08-06","31","1","20230806","1440","1440","1440","0","0","0","1.0","436","11","2","120.61","1","0"
"2023-08-07","31","1","20230807","1440","1440","1440","0","0","0","1.0","349","13","4","181.73","0","0"
"2023-08-08","31","1","20230808","1440","1440","1440","0","0","0","1.0","496","13","4","176.44","1","1"
"2023-08-09","31","1","20230809","1440","1440","1440","0","0","0","1.0","376","12","4","204.92","0","0"
"2023-08-10","31","1","20230810","1440","1440","1440","0","0","0","1.0","451","11","3","168.09","0","1"
"2023-08-11","31","1","20230811","1440","1440","1440","0","0","0","1.0","436","12","3","185.43","0","1"
"2023-08-12","31","1","20230812","1440","1440","1440","0","0","0","1.0","351","12","4","186.18","0","0"
