"date","date_key","organization_key","department_key","licensed_beds","available_beds","occupied_beds","available_bed_days","occupied_bed_days","admissions","discharges","encounter_count","procedure_count","appointments_scheduled","appointments_completed","wait_minutes_total","waited_encounter_count","average_waiting_time_minutes","length_of_stay_days_total","discharged_with_los_count","average_length_of_stay","capacity_utilization","throughput","overflow_capacity_flag"
"2023-08-01","20230801","173","3","72.0","61.0","35.0","61.0","35.0","0.0","0.0","0","0","","","0.0","0","19.39","0.0","0","4.36","0.57377","0","False"
"2023-08-01","20230801","173","6","","","","","","","","0","0","1.0","1.0","0.0","0","34.87","0.0","0","","1.0","1","False"
"2023-08-02","20230802","173","3","72.0","62.0","54.0","62.0","54.0","1.0","0.0","1","2","","","18.43","1","18.43","0.0","0","4.4","0.870968","0","False"
"2023-08-02","20230802","173","6","","","","","","","","1","4","1.0","1.0","45.17","1","45.17","0.0","0","","1.0","1","False"
"2023-08-03","20230803","173","3","72.0","63.0","66.0","63.0","66.0","2.0","3.0","5","4","","","204.9","5","40.98","10.56","3","3.52","1.047619","3","True"
"2023-08-03","20230803","173","6","","","","","","","","0","11","1.0","1.0","0.0","0","43.75","0.0","0","","1.0","1","False"
"2023-08-04","20230804","173","3","72.0","59.0","29.0","59.0","29.0","0.0","0.0","0","1","","","0.0","0","20.63","0.0","0","4.73","0.491525","0","False"
"2023-08-04","20230804","173","6","","","","","","","","1","7","1.0","1.0","35.92","1","35.92","0.0","0","","1.0","1","False"
"2023-08-05","20230805","173","3","72.0","54.0","30.0","54.0","30.0","0.0","0.0","0","0","","","0.0","0","21.74","0.0","0","4.42","0.555556","0","False"
"2023-08-05","20230805","173","6","","","","","","","","0","0","1.0","1.0","0.0","0","44.21","0.0","0","","1.0","1","False"
"2023-08-06","20230806","173","3","72.0","62.0","50.0","62.0","50.0","0.0","1.0","1","0","","","21.09","1","21.09","4.65","1","4.65","0.806452","1","False"
"2023-08-06","20230806","173","6","","","","","","","","0","0","1.0","1.0","0.0","0","37.7","0.0","0","","1.0","1","False"
