"month_start_date","month_start_date_key","organization_key","department_key","employee_role_key","headcount_start","headcount","headcount_end","average_headcount","fte_start","fte","fte_end","average_fte","new_hires","turnover_count","vacancy_count","scheduled_hours","worked_hours","overtime_hours","absence_hours","payroll_cost"
"2023-08-01","20230801","31","1","1","10","10","10","10.0","7.77","7.88","7.88","7.83","1","1","0","1323.97","1293.5","47.02","77.49","151456.64"
"2023-08-01","20230801","31","1","2","17","18","18","17.5","14.43","15.15","15.15","14.79","1","0","0","2546.0","2453.01","60.7","153.69","119201.27"
"2023-08-01","20230801","31","1","3","8","8","8","8.0","6.66","6.6","6.6","6.63","0","0","0","1107.98","1119.16","26.37","15.2","44161.53"
"2023-08-01","20230801","31","1","5","7","6","6","6.5","5.55","5.27","5.27","5.41","0","1","0","885.97","893.54","33.11","25.54","21842.41"
"2023-08-01","20230801","31","1","7","3","3","3","3.0","2.22","2.19","2.19","2.21","0","0","0","368.47","364.71","9.43","13.2","25120.76"
"2023-08-01","20230801","76","2","1","7","7","7","7.0","5.76","5.83","5.83","5.8","0","0","0","979.32","989.85","34.58","24.04","115821.58"
"2023-08-01","20230801","76","2","2","13","13","13","13.0","10.7","10.51","10.51","10.61","0","0","0","1765.69","1753.11","30.89","43.48","84890.58"
"2023-08-01","20230801","76","2","3","6","6","6","6.0","4.94","4.73","4.73","4.83","0","0","0","794.14","787.05","28.29","35.38","31246.83"
"2023-08-01","20230801","76","2","4","4","4","4","4.0","3.29","3.2","3.2","3.25","0","0","0","537.82","534.29","6.92","10.46","14519.21"
"2023-08-01","20230801","76","2","7","2","2","2","2.0","1.65","1.59","1.59","1.62","0","0","0","267.54","270.18","7.51","4.87","18627.7"
"2023-08-01","20230801","173","3","1","10","10","10","10.0","7.8","7.56","7.56","7.68","0","0","0","1270.18","1224.24","44.88","90.82","143368.77"
"2023-08-01","20230801","173","3","2","17","17","17","17.0","14.48","14.09","14.09","14.28","0","0","0","2367.42","2359.09","43.21","51.54","114273.65"
